id,target_name,category,organism,known_action,actions,pubmed_id,uniprot_id,datasource
BE0000767,Epidermal growth factor receptor,target,Humans,yes,inhibitor,10505536,P00734,drugbank
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,target,Humans,yes,binder,11752352,P00533,drugbank
BE0002094,Complement C1q subcomponent subunit A,target,Humans,unknown,binder,16336752,O75015,drugbank
BE0002095,Complement C1q subcomponent subunit B,target,Humans,unknown,binder,32117299,P02745,drugbank
BE0002096,Complement C1q subcomponent subunit C,target,Humans,unknown,binder,32117299,P02746,drugbank
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,target,Humans,unknown,binder,32117299,P02747,drugbank
BE0000710,High affinity immunoglobulin gamma Fc receptor I,target,Humans,unknown,binder,17139284,P08637,drugbank
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,target,Humans,unknown,binder,7547242,P12314,drugbank
BE0004796,DNA,target,Humans,unknown,binder,17139284,P12318,drugbank
BE0000651,Interleukin-2 receptor subunit beta,target,Humans,yes,binder,2786749,P01589,drugbank
BE0002102,Cytokine receptor common subunit gamma,target,Humans,yes,agonist,15811959,P14784,drugbank
BE0000704,Tumor necrosis factor,target,Humans,unknown,,15811959,P31785,drugbank
BE0001087,Lymphotoxin-alpha,target,Humans,yes,inhibitor|antibody,10206649,P01375,drugbank
BE0000710,High affinity immunoglobulin gamma Fc receptor I,target,Humans,yes,antibody,11302411,P01374,drugbank
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,target,Humans,unknown,ligand,27463856,P12314,drugbank
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,target,Humans,unknown,ligand,15457442,P12318,drugbank
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,target,Humans,unknown,ligand,27463856,P31994,drugbank
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,target,Humans,unknown,ligand,10800083,P31995,drugbank
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,target,Humans,unknown,ligand,15457442,P08637,drugbank
BE0009995,Complement component 1q (C1q),target,Humans,unknown,ligand,10800083,O75015,drugbank
BE0001075,Myeloperoxidase,target,Humans,yes,inhibitor,11060732,P00734,drugbank
BE0000203,Gonadotropin-releasing hormone receptor,enzyme,Humans,unknown,inhibitor,18701766,P05164,drugbank
BE0000385,Interferon alpha/beta receptor 2,target,Humans,yes,agonist,16809153,P30968,drugbank
BE0000661,Interferon alpha/beta receptor 1,target,Humans,yes,agonist,15898717,P48551,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,yes,agonist,15898717,P17181,drugbank
BE0000211,Plasminogen,enzyme,Humans,unknown,inhibitor,11910269,P05177,drugbank
BE0000538,Fibrinogen alpha chain,target,Humans,yes,activator,18673235,P00747,drugbank
BE0002092,Fibrinogen gamma chain,target,Humans,yes,binder,18673235,P02671,drugbank
BE0000240,Plasminogen activator inhibitor 1,target,Humans,yes,binder,18673235,P02679,drugbank
BE0000625,Growth hormone-releasing hormone receptor,target,Humans,unknown,,17963464,P05121,drugbank
BE0000661,Interferon alpha/beta receptor 1,target,Humans,yes,agonist,14499707,Q02643,drugbank
BE0000385,Interferon alpha/beta receptor 2,target,Humans,yes,agonist,17139284,P17181,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,yes,agonist,17139284,P48551,drugbank
BE0000654,Erythropoietin receptor,enzyme,Humans,unknown,inhibitor,9064483,P05177,drugbank
BE0000211,Plasminogen,target,Humans,yes,agonist,16505108,P19235,drugbank
BE0000717,Urokinase plasminogen activator surface receptor,target,Humans,yes,activator,12658774,P00747,drugbank
BE0000240,Plasminogen activator inhibitor 1,target,Humans,yes,inducer|modulator,12615913,Q03405,drugbank
BE0000969,Plasminogen activator inhibitor 2,target,Humans,yes,substrate|inducer,12579271,P05121,drugbank
BE0002112,Plasma serine protease inhibitor,target,Humans,yes,substrate|inducer,15277569,P05120,drugbank
BE0000942,Low-density lipoprotein receptor-related protein 2,target,Humans,unknown,substrate,17434507,P05154,drugbank
BE0001656,Suppressor of tumorigenicity 14 protein,target,Humans,unknown,substrate,17139284,P98164,drugbank
BE0002113,Nidogen-1,target,Humans,unknown,substrate,14747469,Q9Y5Y6,drugbank
BE0001198,Macrophage metalloelastase,target,Humans,unknown,ligand,17139284,P14543,drugbank
BE0000134,Lutropin-choriogonadotropic hormone receptor,enzyme,Humans,unknown,substrate,12195704,P39900,drugbank
BE0000203,Gonadotropin-releasing hormone receptor,target,Humans,yes,agonist,17139284,P22888,drugbank
BE0000211,Plasminogen,target,Humans,yes,agonist,20053189,P30968,drugbank
BE0000538,Fibrinogen alpha chain,target,Humans,yes,activator,17963464,P00747,drugbank
BE0000240,Plasminogen activator inhibitor 1,target,Humans,yes,,18673235,P02671,drugbank
BE0000654,Erythropoietin receptor,target,Humans,unknown,,17963464,P05121,drugbank
BE0000431,Calcitonin receptor,target,Humans,yes,agonist,16505108,P19235,drugbank
BE0000661,Interferon alpha/beta receptor 1,target,Humans,unknown,agonist,3004987,P30988,drugbank
BE0000385,Interferon alpha/beta receptor 2,target,Humans,yes,agonist,17139284,P17181,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,yes,agonist,17139284,P48551,drugbank
BE0000793,Granulocyte colony-stimulating factor receptor,enzyme,Humans,unknown,inhibitor,9064483,P05177,drugbank
BE0000394,Neutrophil elastase,target,Humans,yes,agonist,17001306,Q99062,drugbank
BE0000628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,enzyme,Humans,no,substrate,14657210,P08246,drugbank
BE0001036,Interleukin-3 receptor subunit alpha,target,Humans,yes,agonist,17090651,P15509,drugbank
BE0002115,Cytokine receptor common subunit beta,target,Humans,yes,agonist,17562355,P26951,drugbank
BE0002116,Syndecan-2,target,Humans,yes,agonist,17139284,P32927,drugbank
BE0002114,Bone marrow proteoglycan,target,Humans,unknown,agonist,17139284,P34741,drugbank
BE0000661,Interferon alpha/beta receptor 1,target,Humans,unknown,,17383764,P13727,drugbank
BE0000385,Interferon alpha/beta receptor 2,target,Humans,yes,agonist,17139284,P17181,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,yes,agonist,17139284,P48551,drugbank
BE0002363,Cytochrome P450 2D6,enzyme,Humans,unknown,inhibitor,21161196,P05177,drugbank
BE0002793,Cytochrome P450 2C9,enzyme,Humans,unknown,inhibitor,,P10635,drugbank
