id,target_name,drugbank_id,category,organism,known_action,actions,pubmed_id,uniprot_id
BE0000767,Epidermal growth factor receptor,DB00001,target,Humans,yes,inhibitor,10505536,P00734
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,DB00002,target,Humans,yes,binder,11752352,P00533
BE0002094,Complement C1q subcomponent subunit A,DB00002,target,Humans,unknown,binder,16336752,O75015
BE0002095,Complement C1q subcomponent subunit B,DB00002,target,Humans,unknown,binder,32117299,P02745
BE0002096,Complement C1q subcomponent subunit C,DB00002,target,Humans,unknown,binder,32117299,P02746
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,DB00002,target,Humans,unknown,binder,32117299,P02747
BE0000710,High affinity immunoglobulin gamma Fc receptor I,DB00002,target,Humans,unknown,binder,17139284,P08637
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,DB00002,target,Humans,unknown,binder,7547242,P12314
BE0004796,DNA,DB00002,target,Humans,unknown,binder,17139284,P12318
BE0000651,Interleukin-2 receptor subunit beta,DB00004,target,Humans,yes,binder,2786749,P01589
BE0002102,Cytokine receptor common subunit gamma,DB00004,target,Humans,yes,agonist,15811959,P14784
BE0000704,Tumor necrosis factor,DB00004,target,Humans,unknown,,15811959,P31785
BE0001087,Lymphotoxin-alpha,DB00005,target,Humans,yes,inhibitor|antibody,10206649,P01375
BE0000710,High affinity immunoglobulin gamma Fc receptor I,DB00005,target,Humans,yes,antibody,11302411,P01374
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,DB00005,target,Humans,unknown,ligand,27463856,P12314
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,DB00005,target,Humans,unknown,ligand,15457442,P12318
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,DB00005,target,Humans,unknown,ligand,27463856,P31994
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,DB00005,target,Humans,unknown,ligand,10800083,P31995
