src_vid,dst_vid
DB00001,SMP0000278
DB00002,SMP0000474
DB00006,SMP0000277
DB00009,SMP0000280
DB00013,SMP0000284
DB00015,SMP0000285
DB00029,SMP0000281
DB00031,SMP0000283
DB00054,SMP0000265
DB00063,SMP0000266
DB00072,SMP0000476
DB00086,SMP0000282
DB00112,SMP0000420
DB00114,SMP0000002
DB00114,SMP0000003
DB00114,SMP0000004
DB00114,SMP0000006
DB00114,SMP0000009
DB00114,SMP0000012
DB00114,SMP0000016
DB00114,SMP0000020
DB00114,SMP0000021
DB00114,SMP0000024
DB00114,SMP0000029
DB00114,SMP0000044
DB00114,SMP0000058
DB00114,SMP0000072
DB00114,SMP0000137
DB00114,SMP0000139
DB00114,SMP0000173
DB00114,SMP0000177
DB00114,SMP0000186
DB00114,SMP0000188
DB00114,SMP0000191
DB00114,SMP0000218
DB00114,SMP0000239
DB00114,SMP0000339
DB00114,SMP0000348
DB00114,SMP0000360
DB00114,SMP0000361
DB00114,SMP0000370
DB00114,SMP0000429
DB00114,SMP0000465
DB00116,SMP0000033
DB00116,SMP0000144
DB00116,SMP0000168
DB00116,SMP0000203
DB00116,SMP0000221
DB00116,SMP0000223
DB00116,SMP0000244
DB00116,SMP0000427
DB00116,SMP0000430
DB00116,SMP0000432
DB00116,SMP0000513
DB00116,SMP0000724
DB00116,SMP0000004
DB00116,SMP0000009
DB00116,SMP0000044
DB00116,SMP0000050
DB00116,SMP0000123
DB00116,SMP0000177
DB00116,SMP0000191
DB00116,SMP0000210
DB00116,SMP0000364
DB00116,SMP0000365
DB00116,SMP0000428
DB00116,SMP0000535
DB00116,SMP0000543
DB00116,SMP0002313
DB00116,SMP0000053
DB00116,SMP0000167
DB00116,SMP0000179
DB00116,SMP0000214
DB00117,SMP0000247
DB00117,SMP0000249
DB00117,SMP0000250
DB00117,SMP0000255
DB00117,SMP0000256
DB00117,SMP0000257
DB00117,SMP0000259
DB00117,SMP0000262
DB00117,SMP0000493
DB00117,SMP0000711
DB00117,SMP0000726
DB00117,SMP0000009
DB00117,SMP0000044
DB00117,SMP0000191
DB00117,SMP0000248
DB00117,SMP0000251
DB00117,SMP0000254
DB00117,SMP0000293
DB00117,SMP0000294
DB00117,SMP0000713
DB00117,SMP0000715
DB00117,SMP0000730
DB00117,SMP0000731
DB00117,SMP0000007
DB00117,SMP0000252
DB00117,SMP0000253
DB00117,SMP0000258
DB00117,SMP0000290
DB00117,SMP0000291
DB00117,SMP0000292
DB00118,SMP0000004
DB00118,SMP0000006
DB00118,SMP0000012
DB00118,SMP0000020
DB00118,SMP0000044
DB00118,SMP0000123
DB00118,SMP0000177
DB00118,SMP0000188
DB00118,SMP0000191
DB00118,SMP0000218
DB00118,SMP0000327
DB00118,SMP0000360
DB00118,SMP0000361
DB00118,SMP0000428
DB00118,SMP0000429
DB00118,SMP0000465
DB00118,SMP0000507
DB00118,SMP0000715
DB00118,SMP0002313
DB00118,SMP0014216
DB00118,SMP0014218
DB00118,SMP0014220
DB00118,SMP0014224
DB00118,SMP0014228
DB00118,SMP0014229
DB00118,SMP0014230
DB00118,SMP0014233
DB00118,SMP0014235
DB00118,SMP0014240
DB00118,SMP0014242
DB00119,SMP0000013
DB00119,SMP0000040
DB00119,SMP0000045
DB00119,SMP0000055
DB00119,SMP0000179
DB00119,SMP0000242
DB00119,SMP0000350
DB00119,SMP0000385
DB00119,SMP0000484
DB00119,SMP0000485
DB00119,SMP0000531
DB00119,SMP0000534
DB00119,SMP0000559
DB00119,SMP0000560
DB00119,SMP0000573
DB00119,SMP0000721
DB00119,SMP0000722
