id,pathway_name,pathway_category,datasource
SMP0000278,Lepirudin Action Pathway,drug_action,drugbank
SMP0000474,Cetuximab Action Pathway,drug_action,drugbank
SMP0000277,Bivalirudin Action Pathway,drug_action,drugbank
SMP0000280,Alteplase Action Pathway,drug_action,drugbank
SMP0000284,Urokinase Action Pathway,drug_action,drugbank
SMP0000285,Reteplase Action Pathway,drug_action,drugbank
SMP0000281,Anistreplase Action Pathway,drug_action,drugbank
SMP0000283,Tenecteplase Action Pathway,drug_action,drugbank
SMP0000265,Abciximab Action Pathway,drug_action,drugbank
SMP0000266,Eptifibatide Action Pathway,drug_action,drugbank
SMP0000476,Trastuzumab Action Pathway,drug_action,drugbank
SMP0000282,Streptokinase Action Pathway,drug_action,drugbank
SMP0000420,Bevacizumab Action Pathway,drug_action,drugbank
SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,drugbank
SMP0000003,Argininosuccinic Aciduria,disease,drugbank
SMP0000004,Glycine and Serine Metabolism,metabolic,drugbank
SMP0000006,Tyrosine Metabolism,metabolic,drugbank
SMP0000009,Ammonia Recycling,metabolic,drugbank
SMP0000012,Catecholamine Biosynthesis,metabolic,drugbank
SMP0000016,Propanoate Metabolism,metabolic,drugbank
SMP0000020,Arginine and Proline Metabolism,metabolic,drugbank
SMP0000021,Taurine and Hypotaurine Metabolism,metabolic,drugbank
SMP0000024,Porphyrin Metabolism,metabolic,drugbank
SMP0000029,Selenoamino Acid Metabolism,metabolic,drugbank
SMP0000044,Histidine Metabolism,metabolic,drugbank
SMP0000058,Starch and Sucrose Metabolism,metabolic,drugbank
SMP0000072,Glutamate Metabolism,metabolic,drugbank
SMP0000137,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,disease,drugbank
SMP0000139,3-Methylglutaconic Aciduria Type I,disease,drugbank
SMP0000173,beta-Ketothiolase Deficiency,disease,drugbank
SMP0000177,Cystathionine beta-Synthase Deficiency,disease,drugbank
SMP0000186,Glutaric Aciduria Type I,disease,drugbank
SMP0000188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,drugbank
SMP0000191,Histidinemia,disease,drugbank
SMP0000218,Tyrosinemia Type I,disease,drugbank
SMP0000239,Saccharopinuria/Hyperlysinemia II,disease,drugbank
SMP0000339,Hyperinsulinism-Hyperammonemia Syndrome,disease,drugbank
SMP0000348,Globoid Cell Leukodystrophy,disease,drugbank
SMP0000360,Hyperprolinemia Type II,disease,drugbank
SMP0000361,Hyperprolinemia Type I,disease,drugbank
SMP0000370,Tyrosinemia Type 3 (TYRO3),disease,drugbank
SMP0000429,Disulfiram Action Pathway,drug_action,drugbank
SMP0000465,Carnitine Synthesis,metabolic,drugbank
SMP0000033,Methionine Metabolism,metabolic,drugbank
SMP0000144,Adenosine Deaminase Deficiency,disease,drugbank
SMP0000168,AICA-Ribosiduria,disease,drugbank
SMP0000203,Molybdenum Cofactor Deficiency,disease,drugbank
SMP0000221,Methionine Adenosyltransferase Deficiency,disease,drugbank
SMP0000223,Non-Ketotic Hyperglycinemia,disease,drugbank
SMP0000244,Sarcosinemia,disease,drugbank
SMP0000427,Azathioprine Action Pathway,drug_action,drugbank
SMP0000430,Thioguanine Action Pathway,drug_action,drugbank
SMP0000432,Methotrexate Action Pathway,drug_action,drugbank
SMP0000513,Xanthinuria Type II,disease,drugbank
SMP0000724,"Folate Malabsorption, Hereditary",disease,drugbank
SMP0000004,Glycine and Serine Metabolism,metabolic,drugbank
SMP0000009,Ammonia Recycling,metabolic,drugbank
SMP0000044,Histidine Metabolism,metabolic,drugbank
SMP0000050,Purine Metabolism,metabolic,drugbank
SMP0000123,Betaine Metabolism,metabolic,drugbank
SMP0000177,Cystathionine beta-Synthase Deficiency,disease,drugbank
SMP0000191,Histidinemia,disease,drugbank
SMP0000210,Purine Nucleoside Phosphorylase Deficiency,disease,drugbank
SMP0000364,Lesch-Nyhan Syndrome (LNS),disease,drugbank
SMP0000365,Gout or Kelley-Seegmiller Syndrome,disease,drugbank
SMP0000428,Mercaptopurine Action Pathway,drug_action,drugbank
SMP0000535,Adenine Phosphoribosyltransferase Deficiency (APRT),disease,drugbank
SMP0000543,Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),disease,drugbank
SMP0002313,Sarcosine Oncometabolite Pathway,disease,drugbank
SMP0000053,Folate Metabolism,metabolic,drugbank
SMP0000167,Adenylosuccinate Lyase Deficiency,disease,drugbank
SMP0000179,Dihydropyrimidine Dehydrogenase Deficiency (DHPD),disease,drugbank
SMP0000214,S-Adenosylhomocysteine (SAH) Hydrolase Deficiency,disease,drugbank
SMP0000247,Azithromycin Action Pathway,drug_action,drugbank
SMP0000249,Clindamycin Action Pathway,drug_action,drugbank
SMP0000250,Erythromycin Action Pathway,drug_action,drugbank
SMP0000255,Kanamycin Action Pathway,drug_action,drugbank
SMP0000256,Neomycin Action Pathway,drug_action,drugbank
SMP0000257,Netilmicin Action Pathway,drug_action,drugbank
SMP0000259,Streptomycin Action Pathway,drug_action,drugbank
SMP0000262,Clomocycline Action Pathway,drug_action,drugbank
SMP0000493,"Carnosinuria, Carnosinemia",disease,drugbank
SMP0000711,Tobramycin Action Pathway,drug_action,drugbank
SMP0000726,Rolitetracycline Action Pathway,drug_action,drugbank
SMP0000009,Ammonia Recycling,metabolic,drugbank
SMP0000044,Histidine Metabolism,metabolic,drugbank
SMP0000191,Histidinemia,disease,drugbank
SMP0000248,Clarithromycin Action Pathway,drug_action,drugbank
SMP0000251,Roxithromycin Action Pathway,drug_action,drugbank
SMP0000254,Gentamicin Action Pathway,drug_action,drugbank
SMP0000293,Oxytetracycline Action Pathway,drug_action,drugbank
SMP0000294,Tetracycline Action Pathway,drug_action,drugbank
SMP0000713,Arbekacin Action Pathway,drug_action,drugbank
SMP0000715,Methylhistidine Metabolism,metabolic,drugbank
SMP0000730,Troleandomycin Action Pathway,drug_action,drugbank
SMP0000731,Josamycin Action Pathway,drug_action,drugbank
SMP0000007,beta-Alanine Metabolism,metabolic,drugbank
SMP0000252,Telithromycin Action Pathway,drug_action,drugbank
SMP0000253,Amikacin Action Pathway,drug_action,drugbank
SMP0000258,Spectinomycin Action Pathway,drug_action,drugbank
SMP0000290,Demeclocycline Action Pathway,drug_action,drugbank
SMP0000291,Doxycycline Action Pathway,drug_action,drugbank
SMP0000292,Minocycline Action Pathway,drug_action,drugbank
SMP0000004,Glycine and Serine Metabolism,metabolic,drugbank
SMP0000006,Tyrosine Metabolism,metabolic,drugbank
SMP0000012,Catecholamine Biosynthesis,metabolic,drugbank
SMP0000020,Arginine and Proline Metabolism,metabolic,drugbank
SMP0000044,Histidine Metabolism,metabolic,drugbank
SMP0000123,Betaine Metabolism,metabolic,drugbank
SMP0000177,Cystathionine beta-Synthase Deficiency,disease,drugbank
SMP0000188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,drugbank
SMP0000191,Histidinemia,disease,drugbank
SMP0000218,Tyrosinemia Type I,disease,drugbank
SMP0000327,Phenytoin (Antiarrhythmic) Action Pathway,drug_action,drugbank
SMP0000360,Hyperprolinemia Type II,disease,drugbank
SMP0000361,Hyperprolinemia Type I,disease,drugbank
SMP0000428,Mercaptopurine Action Pathway,drug_action,drugbank
SMP0000429,Disulfiram Action Pathway,drug_action,drugbank
SMP0000465,Carnitine Synthesis,metabolic,drugbank
SMP0000507,L-Arginine:Glycine Amidinotransferase Deficiency,disease,drugbank
SMP0000715,Methylhistidine Metabolism,metabolic,drugbank
SMP0002313,Sarcosine Oncometabolite Pathway,disease,drugbank
SMP0014216,Phosphatidylcholine Biosynthesis PC(14:0/14:0),metabolic,drugbank
SMP0014218,Phosphatidylcholine Biosynthesis PC(14:0/15:0),metabolic,drugbank
SMP0014220,Phosphatidylcholine Biosynthesis PC(14:0/16:1(9Z)),metabolic,drugbank
SMP0014224,"Phosphatidylcholine Biosynthesis PC(14:0/18:2(9Z,12Z))",metabolic,drugbank
SMP0014228,Phosphatidylcholine Biosynthesis PC(14:0/20:0),metabolic,drugbank
SMP0014229,Phosphatidylcholine Biosynthesis PC(14:0/20:1(11Z)),metabolic,drugbank
SMP0014230,"Phosphatidylcholine Biosynthesis PC(14:0/20:2(11Z,14Z))",metabolic,drugbank
SMP0014233,"Phosphatidylcholine Biosynthesis PC(14:0/20:4(5Z,8Z,11Z,14Z))",metabolic,drugbank
